ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
56,2019-06-25T11:39:44+0200,2019-07-30T08:42:37+0200,34,TradeTrust/tradetrust-website,0,0,13,140,0.3,0,30.8,1775,6361,6361,0,0,0.00732394366197183,110,407,109,407,390,341792,20,159,16,2.83928571428571,0.470588235294118,0,1,1,1,3
96,2019-03-28T15:19:15+0100,2019-07-30T12:36:10+0200,123,kreait/firebase-php,0,0,73.5,809,0.5,1.7,95.2,5187.5,5571,5571,0,0,0.0141486330078444,212,505,476.5,1035,25502.5,272248,12,98,27,1.02083333333333,0.219512195121951,0,4,2,4,2
56,2018-10-17T23:25:23+0200,2019-07-24T17:39:38+0200,279,axel3rd/mpg-coach-bot,0,0,0,0,0,0,90.8,1880,1913,1913,0,0,0,203.5,880,468,1225,10826,1360450,35,230,45,4.10714285714286,0.161290322580645,0,4,2,4,1
112,2019-04-06T13:38:07+0200,2019-07-13T17:37:47+0200,98,mivek/metarParser,0,0,6,50,0.1,0,98.3,3069,3100,3100,0,0,0.00195503421309873,175,545,214.5,545,1193,30226,7,186,32,1.66071428571429,0.326530612244898,0,4,2,2,2
144,2019-02-28T14:50:22+0100,2019-07-24T15:05:24+0200,145,dernasherbrezon/r2cloud,21,0,61,947.5,0.4,1.7,60.8,7415,7396,7396,0.00281465367315846,0,0.00821604331012205,291,1210,291,1210,1752.5,151198,35,182,76,1.26388888888889,0.524137931034483,0,2,3,2,3
272,2018-01-26T22:04:27+0100,2019-06-24T00:59:15+0200,513,miw-upm/betca-tpv-spring,4,0,27.5,297,0.2,1.5,78.35,3760,8945,8945,0.00121253416506088,0,0.00661190218752482,216,634,216,634,3159,140152,29,387,75,1.42279411764706,0.146198830409357,0,2,2,3,1
48,2019-04-22T21:06:07+0200,2019-06-24T00:09:06+0200,62,revaturelabs/caliber-2-category-service,0,0,2.5,16,0.1,0,62.3,453,466,466,0,0,0.00561096005859277,115.5,240,115.5,240,986.5,14783,25,96,21,2,0.338709677419355,0,2,1,1,2
80,2019-03-04T10:19:16+0100,2019-07-05T15:35:28+0200,123,iomega/paired-data-form,1,0,9,11,0,22.7,54.7,3520.5,3603,3603,0.000277546489036914,0,0.00249791840133222,177,757,177,757,30646,163032,16,84,25,1.05,0.203252032520325,0,2,2,4,1
40,2019-04-20T02:34:29+0200,2019-06-22T02:00:18+0200,62,m-lab/ndt7-client-ios,0,0,13,135,0.6,0,87.8,672,698,698,0,0,0.0186246418338109,1059,2074,1150,1848,100370,200662,3,105,15,2.625,0.241935483870968,0,3,4,4,2
48,2019-04-26T22:45:16+0200,2019-07-22T20:23:20+0200,86,yahoo/fili,59,12,1082,10595.5,0.9,0.8,81.8,38814.5,39066,39066,0.00153290522925172,0.000309168501863592,0.0280398611705723,779,1311,778,1311,6844,353051,98,335,57,6.97916666666667,0.662790697674419,0,3,4,3,3
248,2018-06-29T09:32:18+0200,2019-07-29T13:04:12+0200,395,RoboZonky/robozonky,0,0,264,1159,0.2,0.1,85.5,20635,24364,24364,0,0,0.0126968742427914,3110,29724,7626.5,35922,4541.5,607746,158,754,148,3.04032258064516,0.374683544303797,0,3,4,3,2
128,2018-08-03T16:38:33+0200,2019-07-29T23:48:59+0200,360,KengoTODA/javadocky,0,0,6,40,0.2,0,49,745,745,745,0,0,0.00805369127516779,180,565,179,565,490133,1364524,13,228,64,1.78125,0.177777777777778,0,1,2,4,1
136,2018-12-25T11:13:21+0100,2019-07-20T17:26:00+0200,207,metamug/mason,3,0,143,1688,1.9,0.7,36.4,2949,2949,2949,0.00101763907734057,0,0.0488466757123474,144.5,409,144,409,20363,170219,23,270,70,1.98529411764706,0.338164251207729,0,1,1,4,2
152,2019-03-28T15:32:55+0100,2019-07-29T17:25:10+0200,123,PantheonTechnologies/lighty-core,22,9,332,4107,1.2,0.4,44.3,11584,11716,11716,0.00187777398429498,0.000768180266302492,0.0287402632285791,578.5,1632,1011.5,2440,14622.5,32214,7,408,70,2.68421052631579,0.569105691056911,0,1,4,4,3
112,2017-09-15T15:37:28+0200,2019-06-20T11:41:46+0200,642,CJSCommonPlatform/artemis-manager,0,1,15.5,260,0.7,4.6,66.1,1207.5,1867,1867,0,0.000828181348052899,0.0133071077618213,213,937,213,937,319,2501838,33,176,28,1.57142857142857,0.043613707165109,0,2,2,1,1
48,2019-06-14T06:37:04+0200,2019-07-24T02:20:50+0200,39,utilForever/RosettaStone,0,0,17,4257,0.6,15.7,47.75,22748,29962,29962,0,0,0.000659399890969863,1398,1968,4306,5713,21050,149051,37,129,33,2.6875,0.846153846153846,0,1,4,4,4
